,BS,HL,HN,LR,OPTIM,MSE,ACC,REC,PREC,F1,AUROC,AUPR
85,2048,3,20,0.01,SGD,0.2975636913125314,0.7024363086874685,0.7656509490829018,0.8735298245614035,0.816040488006346,0.550824131774433,0.8764210023334829
95,2048,3,40,0.1,SGD,0.3025953712785981,0.6974046287214019,0.7557541610796049,0.87619000078442,0.811528058941445,0.5610848482866571,0.8808827690455511
137,4096,3,40,0.0001,SGD,0.3080353118952307,0.6919646881047692,0.7509257095055911,0.8739825466936795,0.8077944849717963,0.550994245804062,0.876827561367315
129,4096,3,20,0.0001,SGD,0.3145038572678349,0.6854961427321651,0.7443258005388182,0.8720822133020085,0.8031552503990522,0.5326520159116623,0.8685651533640831
81,2048,3,20,0.0001,SGD,0.3156385037512261,0.6843614962487738,0.7372215182866071,0.8770058171441115,0.801061344793362,0.5667152546228735,0.8837328224179751
