,BS,HL,HN,LR,OPTIM,MSE,ACC,REC,PREC,F1,AUROC,AUPR
12,64,1,40,0.01,adam,0.3695872325760186,0.6304127674239813,0.6402342260330426,0.9027267050579338,0.7491525179752556,0.6460455366361681,0.9137631876839796
136,512,3,40,0.0001,adam,0.3707748999231197,0.6292251000768803,0.636488331754604,0.90524888461202,0.7474430094478635,0.6529960060151057,0.9160178434697956
62,256,1,40,0.1,adam,0.3708491291323135,0.6291508708676864,0.6361315799185622,0.9055495236760998,0.7472993576264696,0.653543357923061,0.9158209179455076
92,256,3,40,0.01,adam,0.3718565255428011,0.6281434744571989,0.6367589710784977,0.9033262944800264,0.7469730860812469,0.6464190647648403,0.9132269959988688
60,256,1,40,0.01,adam,0.3728374115214337,0.6271625884785663,0.6347414779367442,0.9041802840595456,0.745873824125706,0.647285016164864,0.9139570468844234
