Unnamed: 0,BS,HL,HN,LR,OPTIM,MSE,ACC,REC,PREC,F1,AUROC,AUPR
63,256,1,40,0.100,SGD,0.420,0.580,0.562,0.919,0.698,0.678,0.923
64,256,2,20,0.000,adam,0.404,0.596,0.588,0.912,0.715,0.663,0.919
65,256,2,20,0.000,SGD,0.417,0.583,0.566,0.920,0.700,0.676,0.923
66,256,2,20,0.001,adam,0.392,0.608,0.605,0.910,0.727,0.663,0.919
67,256,2,20,0.001,SGD,0.412,0.588,0.572,0.919,0.705,0.678,0.923
68,256,2,20,0.010,adam,0.412,0.588,0.575,0.915,0.706,0.668,0.921
69,256,2,20,0.010,SGD,0.409,0.591,0.578,0.917,0.709,0.676,0.923
70,256,2,20,0.100,adam,0.416,0.584,0.569,0.916,0.702,0.667,0.920
71,256,2,20,0.100,SGD,0.401,0.599,0.588,0.917,0.716,0.677,0.923
72,256,2,40,0.000,adam,0.375,0.625,0.632,0.903,0.744,0.646,0.913
73,256,2,40,0.000,SGD,0.410,0.590,0.576,0.917,0.707,0.676,0.923
74,256,2,40,0.001,adam,0.385,0.615,0.616,0.909,0.734,0.660,0.917
75,256,2,40,0.001,SGD,0.414,0.586,0.570,0.918,0.704,0.675,0.922
76,256,2,40,0.010,adam,0.400,0.600,0.593,0.911,0.719,0.659,0.918
77,256,2,40,0.010,SGD,0.410,0.590,0.576,0.918,0.708,0.676,0.923
78,256,2,40,0.100,adam,0.383,0.617,0.620,0.907,0.736,0.653,0.916
79,256,2,40,0.100,SGD,0.419,0.581,0.565,0.918,0.699,0.675,0.923
80,256,3,20,0.000,adam,0.396,0.604,0.596,0.914,0.722,0.670,0.921
81,256,3,20,0.000,SGD,0.414,0.586,0.570,0.918,0.704,0.674,0.922
82,256,3,20,0.001,adam,0.406,0.594,0.586,0.911,0.713,0.654,0.915
83,256,3,20,0.001,SGD,0.420,0.580,0.562,0.919,0.698,0.675,0.922
84,256,3,20,0.010,adam,0.423,0.577,0.562,0.914,0.696,0.660,0.919
85,256,3,20,0.010,SGD,0.404,0.596,0.584,0.917,0.714,0.675,0.923
86,256,3,20,0.100,adam,0.408,0.592,0.581,0.915,0.711,0.668,0.921
87,256,3,20,0.100,SGD,0.414,0.586,0.570,0.919,0.704,0.677,0.923
88,256,3,40,0.000,adam,0.388,0.612,0.614,0.906,0.732,0.645,0.913
89,256,3,40,0.000,SGD,0.417,0.583,0.567,0.919,0.701,0.677,0.923
90,256,3,40,0.001,adam,0.381,0.619,0.624,0.904,0.739,0.639,0.912
91,256,3,40,0.001,SGD,0.420,0.580,0.563,0.918,0.698,0.674,0.922
92,256,3,40,0.010,adam,0.372,0.628,0.637,0.903,0.747,0.646,0.913
93,256,3,40,0.010,SGD,0.415,0.585,0.569,0.919,0.703,0.676,0.923
94,256,3,40,0.100,adam,0.380,0.620,0.623,0.907,0.739,0.655,0.916
95,256,3,40,0.100,SGD,0.415,0.585,0.568,0.919,0.702,0.677,0.923
96,512,1,20,0.000,adam,0.383,0.617,0.615,0.912,0.735,0.670,0.921
97,512,1,20,0.000,SGD,0.416,0.584,0.567,0.919,0.701,0.676,0.923
98,512,1,20,0.001,adam,0.390,0.610,0.604,0.913,0.727,0.671,0.921
99,512,1,20,0.001,SGD,0.418,0.582,0.565,0.919,0.700,0.675,0.923
100,512,1,20,0.010,adam,0.389,0.611,0.610,0.909,0.730,0.656,0.916
101,512,1,20,0.010,SGD,0.418,0.582,0.566,0.919,0.700,0.677,0.923
102,512,1,20,0.100,adam,0.409,0.591,0.581,0.914,0.710,0.664,0.919
103,512,1,20,0.100,SGD,0.416,0.584,0.568,0.919,0.702,0.676,0.923
104,512,1,40,0.000,adam,0.388,0.612,0.610,0.909,0.730,0.661,0.918
105,512,1,40,0.000,SGD,0.416,0.584,0.569,0.918,0.702,0.674,0.922
106,512,1,40,0.001,adam,0.381,0.619,0.621,0.908,0.738,0.657,0.917
107,512,1,40,0.001,SGD,0.404,0.596,0.586,0.914,0.714,0.667,0.920
108,512,1,40,0.010,adam,0.380,0.620,0.624,0.905,0.739,0.652,0.916
109,512,1,40,0.010,SGD,0.414,0.586,0.571,0.918,0.704,0.677,0.923
110,512,1,40,0.100,adam,0.400,0.600,0.595,0.911,0.720,0.660,0.918
111,512,1,40,0.100,SGD,0.415,0.585,0.569,0.919,0.703,0.676,0.923
112,512,2,20,0.000,adam,0.403,0.597,0.589,0.912,0.716,0.661,0.918
113,512,2,20,0.000,SGD,0.421,0.579,0.561,0.919,0.697,0.673,0.922
114,512,2,20,0.001,adam,0.410,0.590,0.578,0.915,0.708,0.667,0.920
115,512,2,20,0.001,SGD,0.419,0.581,0.565,0.918,0.699,0.672,0.922
116,512,2,20,0.010,adam,0.402,0.598,0.591,0.911,0.717,0.660,0.918
117,512,2,20,0.010,SGD,0.413,0.587,0.572,0.917,0.705,0.674,0.922
118,512,2,20,0.100,adam,0.424,0.576,0.558,0.918,0.694,0.668,0.921
119,512,2,20,0.100,SGD,0.416,0.584,0.567,0.919,0.701,0.676,0.923
120,512,2,40,0.000,adam,0.386,0.614,0.616,0.906,0.733,0.647,0.915
121,512,2,40,0.000,SGD,0.419,0.581,0.564,0.919,0.699,0.676,0.923
