,LR_MULTIPLIER,MSE,ACC,REC,PREC,F1,AUROC,AUPR
0,1,0.4045650963654198,0.5954349036345802,0.5804844443897699,0.9209645467586584,0.7121195543499177,0.6879363604699243,0.9264456109626484
1,2,0.4263354630046923,0.5736645369953076,0.5509109473606515,0.92371316894073,0.6901876774767763,0.6870662749943665,0.9262422355681481
2,3,0.38928448344423533,0.6107155165557647,0.6019326108083505,0.9183221507999813,0.7272044972375281,0.685956533192153,0.925902252728915
